Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating
EMP0067,45,Non-binary,Software Engineer,IT,6,Hybrid,46,3,1
EMP0068,60,Female,Marketing,Education,32,Remote,20,6,2
EMP0069,32,Female,Designer,Manufacturing,23,Onsite,51,8,2
EMP0070,25,Female,Marketing,Finance,6,Remote,28,13,2
EMP0071,43,Prefer not to say,Marketing,Consulting,23,Onsite,39,4,4
EMP0072,50,Prefer not to say,Designer,Consulting,25,Remote,29,13,1
EMP0073,28,Prefer not to say,Designer,Retail,15,Onsite,30,14,5
EMP0074,23,Non-binary,Software Engineer,IT,29,Hybrid,53,7,3
EMP0075,38,Prefer not to say,Project Manager,Consulting,35,Onsite,57,10,2
EMP0076,42,Male,Marketing,Retail,27,Onsite,49,3,5
EMP0077,31,Non-binary,HR,Consulting,4,Onsite,55,8,4
EMP0078,28,Female,Marketing,Healthcare,25,Remote,37,10,5
EMP0079,29,Male,Data Scientist,Manufacturing,15,Remote,51,5,2
EMP0080,27,Male,Project Manager,Consulting,21,Hybrid,21,7,5
EMP0081,54,Female,Data Scientist,Education,5,Hybrid,21,10,3
EMP0082,42,Non-binary,Software Engineer,Finance,33,Onsite,44,9,4
EMP0083,58,Prefer not to say,HR,Education,32,Hybrid,26,10,3
EMP0084,26,Female,Project Manager,Healthcare,15,Hybrid,43,6,4
EMP0085,56,Male,Designer,Retail,9,Hybrid,42,14,4
EMP0086,50,Male,Designer,Finance,20,Hybrid,44,8,4
EMP0087,55,Prefer not to say,Project Manager,Manufacturing,10,Onsite,27,0,1
EMP0088,22,Prefer not to say,Data Scientist,Education,26,Hybrid,43,5,1
EMP0089,24,Female,Designer,Consulting,11,Remote,38,0,5
EMP0090,53,Prefer not to say,Marketing,Healthcare,23,Hybrid,38,4,4
EMP0091,57,Female,Data Scientist,Retail,2,Onsite,57,4,4
EMP0092,22,Female,Software Engineer,Manufacturing,9,Onsite,60,3,1
EMP0093,41,Male,Data Scientist,IT,31,Onsite,29,0,5
EMP0094,46,Non-binary,Data Scientist,Education,34,Remote,54,12,4
EMP0095,60,Non-binary,Project Manager,Education,11,Onsite,31,11,5
EMP0096,44,Female,Project Manager,Manufacturing,2,Remote,54,8,5
EMP0097,35,Male,Data Scientist,Healthcare,31,Hybrid,33,11,1
EMP0098,48,Male,Designer,IT,32,Hybrid,25,1,4
EMP0099,31,Prefer not to say,Data Scientist,Healthcare,19,Onsite,21,15,1
EMP0100,53,Male,Project Manager,IT,12,Hybrid,45,10,2
